Avatar4321	Anthony Weiner	per	pos-towards	1.1177777777777784	And Weiner highlighted why he should go into early retirement.	2010-08-12T10:07:00
WillowTree	Beck	per	pos-towards	1.8099999999999996	did you see Beck eat that weiner? It was fucking hilarious.	2010-08-12T10:15:00
Dante	Joe Scarborough	per	neg-towards	-1.8144444444444443	Mentioning "Bills put out by..." causes Joe to lose any argument he may have had.	2010-08-12T10:28:00
Dante	Joe Scarborough	per	pos-towards	1.8488888888888884	I like Joe, but his problem is he got caught trying make arguments by snidely referencing Nancy Pelosi, Reed, and Waxman.	2010-08-12T10:28:00
Dante	people	per	pos-towards	0.6277777777777773	expecting people to click around to access content puts you on my radar.	2010-08-12T10:31:00
boedicca	you	per	neg-towards	-1.2777777777777777	If he were a GOPper, you'd be screeching "coverup".	2011-05-28T14:18:00
boedicca	guest	per	neg-towards	-0.367777777777778	He is a regular guest on Morning Joe and is not shy about appearing anywhere.	2011-05-29T11:01:00
boedicca	Gennette Noble	per	neg-towards	-1.4255555555555555	Gennette Noble is a 21-year-old college student in Seattle Washington.	2011-05-29T11:01:00
boedicca	Whatcom Community College	org	neg-towards	-1.4255555555555555	Gennette Noble is a 21-year-old college student in Seattle Washington.	2011-05-29T11:01:00
boedicca	Washington State	gpe	neg-towards	-1.4255555555555555	Gennette Noble is a 21-year-old college student in Seattle Washington.	2011-05-29T11:01:00
boedicca	someone	per	neg-towards	-0.2511111111111113	This shows someone is taking great pains to remove her from the net.	2011-05-29T11:01:00
boedicca	Followers	per	neg-towards	-0.14999999999999947	Followers of my lame hockey tweets recall i picked tb and nashville. #NotSoBrilliant	2011-05-29T11:21:00
boedicca	New York Post	org	neg-towards	-1.5500000000000003	The New York Post also completely ignores Weiners earlier twitter reference to the City of Seattle in a Tweet that remains on his feed.	2011-05-29T11:21:00
boedicca	Hillary Clinton	per	neg-towards	-2.0244444444444447	Clinton did in fact get a blow job - although he was accused of LYING UNDER OATH.	2011-05-29T12:22:00
boedicca	Foxfyre	per	neg-towards	-0.8888888888888893	The circumstantial evidence Boedicca laid out there makes it all look pretty bad.	2011-05-29T17:51:00
boedicca	authorities	per	neg-towards	-0.927777777777778	Weiner's Office has so far refused to confirm if the supposed hack had been reported to the federal authorities:	2011-05-30T09:52:00
