sitarro	genius	per	pos-towards	1.7477777777777774	the genius mispelled genius.	2006-01-08T22:19:00
Gunny	prisoners	per	neg-towards	-2.7866666666666666	It was ALREADY illegal to torture prisoners.	2005-12-19T19:58:00
Bullypulpit	John McCain	per	neg-towards	-0.608888888888889	Dubbyuh caved to McCain because he did not want to be labeled as failing to take a stand against torture.	2005-12-18T10:18:00
Bullypulpit	nations	gpe	neg-towards	-1.9233333333333338	It does nothing to stop the practice of extraordinary rendition, whereby prisoners in US custody are transported to nations which allow, or turn a blind eye to torture.	2005-12-18T10:18:00
Bullypulpit	they	per	pos-towards	0.09888888888888836	When they were tortured, they told their captors anything in order to make the torture stop. &lt;a href=http://www.cvt.org/main.php/Advocacy/TheCampaigntoStopTorture/WhatCVTknowsaboutTorture&gt;Torture is not a reliable means of acquiring actionable intel.&lt;/a&gt;	2005-12-18T10:18:00
BaronVonBigmeat	POW	per	neg-towards	-2.7866666666666666	Another reason why McCain is opposed to torture hasn't been mentioned--it has long been understood that by torturing enemy POW's, you are insuring that any of our guys who get captured will be treated worse.	2005-12-18T10:37:00
BaronVonBigmeat	BUSH	per	pos-towards	2.564444444444444	That's how Bush could claim with a straight face that we don't torture people.	2005-12-18T10:37:00
BaronVonBigmeat	people	per	pos-towards	2.564444444444444	That's how Bush could claim with a straight face that we don't torture people.	2005-12-18T10:37:00
ScreamingEagle	terrorists	per	neg-towards	-1.9700000000000002	Is tasering terrorists violating international standards? <img src="http://www.usmessageboard.com/images/smilies/new/dev2.gif"/>	2005-12-19T01:04:00
Emmett	them	per	neg-towards	-1.6277777777777782	I would not feed em, I would not bring them their ugly little killing manuals, nor would I allow them the cushy existance they enjoy.	2006-01-08T21:49:00
Emmett	their	per	neg-towards	-2.11	I would not feed em, I would not bring them their ugly little killing manuals, nor would I allow them the cushy existance they enjoy.	2006-01-08T21:49:00
Emmett	John McCain	per	neg-towards	-1.168888888888889	That isn't as bad as having your head cut off on AL-Jazzerra TV.	2006-01-08T21:49:00
Emmett	AL-Jazzerra TV	org	neg-towards	-1.168888888888889	That isn't as bad as having your head cut off on AL-Jazzerra TV.	2006-01-08T21:49:00
Emmett	they	per	pos-towards	1.094444444444444	If the decision had been mine they'd be glowing!	2006-01-08T21:49:00
Emmett	they	per	pos-towards	2.354444444444445	I would not feed em, I would not bring them their ugly little killing manuals, nor would I allow them the cushy existance they enjoy.	2006-01-08T21:49:00
Emmett	AL-Jazzerra TV	org	pos-towards	1.1566666666666672	That isn't as bad as having your head cut off on AL-Jazzerra TV.	2006-01-08T21:49:00
SpidermanTuba	BUSH	per	neg-towards	-2.351111111111111	Bush must hate America and American values if he doesn't advocate torture.	2006-01-09T03:47:00
SpidermanTuba	BUSH	per	neg-towards	-1.9777777777777774	I didn't think any President would honestly threaten to veto a bill because it had an anti-torture provision.	2006-01-09T03:49:00
SpidermanTuba	Psychoblues	per	neg-towards	-0.4299999999999997	Actually, when he was signing the bill with his hand, he was saying with his mouth that he was above the law and could break the law if he so decided.	2006-01-13T18:50:00
SpidermanTuba	BUSH	per	pos-towards	1.5844444444444434	Bush must hate America and American values if he doesn't advocate torture.	2006-01-09T03:47:00
SpidermanTuba	Insein	per	pos-towards	1.4444444444444446	Never thought Insein and I would agree.	2006-01-09T03:51:00
Annie	Spidey	org	pos-towards	0.6900000000000004	I am left to wonder Spidey; for one who claims to be 'ever so smart' you are now begging for the likes of psychoblues, the resident board burnout to save your sad ass...	2006-01-13T19:42:00
no1tovote4	nobody	per	neg-towards	-1.5500000000000003	If it was necessary then the law would be broken, nobody would prosecute for such a transaction if it saved the lives of many.	2006-01-13T19:56:00
no1tovote4	BUSH	per	neg-towards	-0.2511111111111113	Bush was saying that if it was necessary he would follow that, he didn't want to tie the hands of the people who might be in such a position where that could be a possibility, he wanted them to know that he would back it up if it became necessary.	2006-01-13T19:56:00
no1tovote4	them	per	neg-towards	-0.29777777777777814	Bush was saying that if it was necessary he would follow that, he didn't want to tie the hands of the people who might be in such a position where that could be a possibility, he wanted them to know that he would back it up if it became necessary.	2006-01-13T19:56:00
no1tovote4	people	per	pos-towards	0.6277777777777773	Bush was saying that if it was necessary he would follow that, he didn't want to tie the hands of the people who might be in such a position where that could be a possibility, he wanted them to know that he would back it up if it became necessary.	2006-01-13T19:56:00
no1tovote4	who	per	pos-towards	1.094444444444444	Bush was saying that if it was necessary he would follow that, he didn't want to tie the hands of the people who might be in such a position where that could be a possibility, he wanted them to know that he would back it up if it became necessary.	2006-01-13T19:56:00
California Girl	idiot	per	neg-towards	0.06777777777777771	Fucking idiot.	2010-11-13T09:53:00
California Girl	Misty	per	neg-towards	-1.4955555555555553	California is by far the most communist liberal hitler state.	2010-11-13T11:16:00
California Girl	Misty	per	pos-towards	1.0477777777777781	California is by far the most communist liberal hitler state.	2010-11-13T11:16:00
Sallow	companies	org	neg-towards	-0.367777777777778	What they don't want is insurance companies telling them they don't have insurance if and when they get sick.	2010-11-13T10:04:00
Sallow	HMOs	org	pos-towards	0.7366666666666664	HMOs got super greedy when they went public..and they've been doing a terrible job of managing healthcare costs.	2010-11-13T10:24:00
Sallow	world	loc	pos-towards	1.8099999999999996	We've got the best medical technology in the world and almost the worst access to it.	2010-11-13T10:24:00
Sallow	FOX..that	per	pos-towards	2.0666666666666664	Coming from a supporter of Republicans and FOX..that's hilarious.. <img src="http://www.usmessageboard.com/images/smilies/lol.gif"/>	2010-11-13T10:33:00
Misty	our	per	neg-towards	-2.086666666666667	This country is a nanny country under obama's rule and once they control our health good bye junk food sugar liquor cigarettes chips happy meals basically anything that makes life fun.	2010-11-13T10:17:00
Misty	Los Angeles	gpe	neg-towards	-1.2933333333333334	They are trying to ban happy meals in San Francisco and they just banned smoking in Los Angeles.	2010-11-13T11:16:00
Misty	California	gpe	neg-towards	-1.4955555555555553	California is by far the most communist liberal hitler state.	2010-11-13T11:16:00
Misty	you	per	neg-towards	-2.0322222222222224	Except if you are an illegal immigrant.	2010-11-13T11:16:00
Misty	San Francisco	gpe	pos-towards	1.9033333333333324	They are trying to ban happy meals in San Francisco and they just banned smoking in Los Angeles.	2010-11-13T11:16:00
Misty	California	gpe	pos-towards	1.0477777777777781	California is by far the most communist liberal hitler state.	2010-11-13T11:16:00
Christopher	American	gpe	pos-towards	0.8066666666666666	By the way, you should realize that in America, we spell the word realize with a z.	2010-11-13T10:20:00
daveman	FOX..that	per	pos-towards	1.8488888888888884	You're like a vampire -- you can't see yourself in the mirror. <img src="http://www.usmessageboard.com/images/smilies/lol.gif"/>	2010-11-13T10:59:00
The T	they	per	neg-towards	-0.14999999999999947	But he and the Elites have their Healthcare aside from the shit sandwhich they've saddled us with...	2010-11-13T10:33:00
The T	us	per	neg-towards	-0.14999999999999947	But he and the Elites have their Healthcare aside from the shit sandwhich they've saddled us with...	2010-11-13T10:33:00
The T	They	per	neg-towards	-0.2511111111111113	They will follow the playbook: Blame, Minimize, Deny, Obfuscate...they'll pick one, a couple, or the whole enchilada and run with it...	2010-11-13T11:20:00
The T	Democrats	org	pos-towards	1.086666666666667	It's part of the reason why Democrats lost power in the US Congress, and lost seats/Governorships in several States.	2010-11-13T10:50:00
The T	Congress	org	pos-towards	1.086666666666667	It's part of the reason why Democrats lost power in the US Congress, and lost seats/Governorships in several States.	2010-11-13T10:50:00
The T	They	per	pos-towards	0.7755555555555551	They will follow the playbook: Blame, Minimize, Deny, Obfuscate...they'll pick one, a couple, or the whole enchilada and run with it...	2010-11-13T11:20:00
The T	they	per	pos-towards	0.5966666666666676	They will follow the playbook: Blame, Minimize, Deny, Obfuscate...they'll pick one, a couple, or the whole enchilada and run with it...	2010-11-13T11:20:00
The T	couple	per	pos-towards	1.1566666666666672	They will follow the playbook: Blame, Minimize, Deny, Obfuscate...they'll pick one, a couple, or the whole enchilada and run with it...	2010-11-13T11:20:00
The T	parties	org	pos-towards	0.8766666666666669	And had been bandied about that the inaction on the borders and enforcing the Law already on the books is that both parties see future constituients.	2010-11-13T12:14:00
The T	nation	gpe	pos-towards	1.187777777777777	What they mean is raising a nation of whimps that have to cling to mommy and daddy.	2010-11-13T12:29:00
Meister	who	per	neg-towards	-1.5422222222222217	Look who's the idiot...TDM.	2010-11-13T10:39:00
Meister	Those	per	neg-towards	-2.0711111111111107	Those that like it as it is may not like it when more is added to it.	2010-11-13T10:39:00
Meister	Those	per	neg-towards	-2.0711111111111107	Those that say it doesn't go far enough (29%) don't like it now.	2010-11-13T10:46:00
Meister	Those	per	pos-towards	1.8488888888888884	Those that like it as it is may not like it when more is added to it.	2010-11-13T10:39:00
Meister	Those	per	pos-towards	1.8488888888888884	Those that say it doesn't go far enough (29%) don't like it now.	2010-11-13T10:46:00
